Word,Count,Premier
NWT,34,Caroline Cochrane
GNWT,10,Caroline Cochrane
Inuvik,4,Caroline Cochrane
Tch,3,Caroline Cochrane
Ktodeeche First Nation,3,Caroline Cochrane
Cabinet,2,Caroline Cochrane
the Federal Government,2,Caroline Cochrane
Aklavik,2,Caroline Cochrane
Islamophobia,2,Caroline Cochrane
Residential School,2,Caroline Cochrane
the Yellowknife DMV,1,Caroline Cochrane
CabinetComms,1,Caroline Cochrane
the GNWT Click,1,Caroline Cochrane
the Canada Recovery Benefits,1,Caroline Cochrane
NTPCNews,1,Caroline Cochrane
the NWT Emergency Management Organization,1,Caroline Cochrane
The Department of Infrastructure,1,Caroline Cochrane
Rangers,1,Caroline Cochrane
the CanadianForces CAF,1,Caroline Cochrane
the National Emergency Strategic Stockpile,1,Caroline Cochrane
